Name,Link,Regulation Status,Regulation Details,Rating
MultiBank Group,https://www.allfxbrokers.com/forex-brokers/multibank-group,YES,"ASIC, BaFin, FMA, CNMV, DFSA, FSC, CIMA. MultiBank Group is a registered trade name of MEX Group Worldwide Limited. 169 Electric Road, North Point, Hong Kong. MultiBank Exchange is the trading name of MultiBank Forex Exchange Corporation incorporated in California, USA with Company No. 3918038. MultiBankFX is the trading name of MultiBank FX International Corporation (BVI) Company No. 1377324. MultiBank Group is comprised of several companies that are heavily regulated accross 5 continents by 11 financial regulators.",0
OctaFX,https://www.allfxbrokers.com/forex-brokers/octafx,YES,"FCA, CySEC (License number 372/18)",4.5
AGEA International AD,https://www.allfxbrokers.com/forex-brokers/agea-international-ad,YES,"Commission for Capital Markets, formerly Securities and Exchange Commission of Montenegro",0
10Markets,https://www.allfxbrokers.com/forex-brokers/10markets,YES,Vanuatu FSC (VFSC) - License No. 14692 (10Markets is a brand owned and operated by WhiteStone Securities Ltd),4.9
12Trader,https://www.allfxbrokers.com/forex-brokers/12trader,No,They are currently applying for regulation in Cyprus under CySec.,0
1Billion Forex,https://www.allfxbrokers.com/forex-brokers/1billion-forex,YES,IFSC,0
1Broker,https://www.allfxbrokers.com/forex-brokers/1broker,No,-,0
24Option,https://www.allfxbrokers.com/forex-brokers/24option,YES,"CySEC. The 24option brand is owned by a Cyprus Investment Firm (CIF) called Rodeler Ltd. Based in Limassol, Cyprus, Rodeler Ltd is under the jurisdiction of the Cyprus Securities Exchange Commission (CySEC) and is licensed and authorized under the CIF license number 207/13.",0
3TG FX Financial Limited Partnership,https://www.allfxbrokers.com/forex-brokers/3tg-fx-financial-limited-partnership,YES,FSP,1.0
5Stars Forex,https://www.allfxbrokers.com/forex-brokers/5stars-forex,YES,Finance Services Seychelles (CLOSED),4.1
AAAFx,https://www.allfxbrokers.com/forex-brokers/aaafx,YES,HCMC in Greece,4.0
AAATrade,https://www.allfxbrokers.com/forex-brokers/aaatrade,YES,Cysec (Demo Account provided by agents),4.5
AAFX TRADING COMPANY LTD,https://www.allfxbrokers.com/forex-brokers/aafx-trading-company-ltd,YES,FSA,4.5
